Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
1/1/2018,DKI1,35,20,22,27,2,35,PM10,BAIK
1/2/2018,DKI1,14,18,12,17,1,18,SO2,BAIK
1/3/2018,DKI1,,,,,,,,TIDAK ADA DATA
1/4/2018,DKI1,24,21,20,19,2,24,PM10,BAIK
1/5/2018,DKI1,23,19,17,21,2,23,PM10,BAIK
1/6/2018,DKI1,18,19,14,24,2,24,O3,BAIK
1/7/2018,DKI1,21,20,14,27,2,27,O3,BAIK
1/8/2018,DKI1,48,27,19,44,3,48,PM10,BAIK
1/9/2018,DKI1,24,23,16,29,2,29,O3,BAIK
1/10/2018,DKI1,28,23,16,44,3,44,O3,BAIK
1/11/2018,DKI1,40,30,18,36,4,40,PM10,BAIK
1/12/2018,DKI1,35,22,18,38,4,38,O3,BAIK
1/13/2018,DKI1,39,23,17,50,4,50,O3,BAIK
1/14/2018,DKI1,31,23,17,38,4,38,O3,BAIK
1/15/2018,DKI1,30,21,19,33,3,33,O3,BAIK
1/16/2018,DKI1,24,23,19,29,3,29,O3,BAIK
1/17/2018,DKI1,35,23,19,34,4,35,PM10,BAIK
1/18/2018,DKI1,41,22,22,23,5,41,PM10,BAIK
1/19/2018,DKI1,46,22,27,20,5,46,PM10,BAIK
1/20/2018,DKI1,27,20,18,23,2,27,PM10,BAIK
1/21/2018,DKI1,25,20,17,25,2,25,PM10,BAIK
1/22/2018,DKI1,17,20,17,18,2,20,SO2,BAIK
1/23/2018,DKI1,28,21,17,34,3,34,O3,BAIK
1/24/2018,DKI1,33,23,20,39,3,39,O3,BAIK
1/25/2018,DKI1,26,20,19,19,3,26,PM10,BAIK
1/26/2018,DKI1,21,20,19,25,3,25,O3,BAIK
1/27/2018,DKI1,27,21,19,37,3,37,O3,BAIK
1/28/2018,DKI1,32,22,17,23,4,32,PM10,BAIK
1/29/2018,DKI1,22,20,17,19,2,22,PM10,BAIK
1/30/2018,DKI1,27,21,20,23,3,27,PM10,BAIK
1/31/2018,DKI1,28,21,20,27,3,28,PM10,BAIK
2/1/2018,DKI1,44,21,19,31,3,44,PM10,BAIK
2/2/2018,DKI1,46,23,26,30,4,46,PM10,BAIK
2/3/2018,DKI1,18,21,19,27,3,27,O3,BAIK
2/4/2018,DKI1,22,20,16,27,2,27,O3,BAIK
2/5/2018,DKI1,31,19,19,27,3,31,PM10,BAIK
2/6/2018,DKI1,24,21,35,31,5,35,CO,BAIK
2/7/2018,DKI1,,,,,,,,TIDAK ADA DATA
2/8/2018,DKI1,,,,,,,,TIDAK ADA DATA
2/9/2018,DKI1,28,23,38,29,3,38,CO,BAIK
2/10/2018,DKI1,13,24,26,,4,26,CO,BAIK
2/11/2018,DKI1,24,25,19,30,3,30,O3,BAIK
2/12/2018,DKI1,15,20,21,43,3,43,O3,BAIK
2/13/2018,DKI1,41,21,22,40,5,41,PM10,BAIK
2/14/2018,DKI1,37,21,25,36,6,37,PM10,BAIK
2/15/2018,DKI1,21,22,32,25,5,32,CO,BAIK
2/16/2018,DKI1,20,22,23,42,3,42,O3,BAIK
2/17/2018,DKI1,13,22,17,24,3,24,O3,BAIK
2/18/2018,DKI1,29,22,19,40,3,40,O3,BAIK
2/19/2018,DKI1,19,21,20,34,3,34,O3,BAIK
2/20/2018,DKI1,24,28,22,29,4,29,O3,BAIK
2/21/2018,DKI1,37,21,19,29,3,37,PM10,BAIK
2/22/2018,DKI1,27,23,28,18,4,28,CO,BAIK
2/23/2018,DKI1,49,25,29,25,4,49,PM10,BAIK
2/24/2018,DKI1,32,22,19,39,3,39,O3,BAIK
2/25/2018,DKI1,23,20,16,42,2,42,O3,BAIK
2/26/2018,DKI1,36,22,22,41,4,41,O3,BAIK
2/27/2018,DKI1,44,22,26,30,4,44,PM10,BAIK
2/28/2018,DKI1,48,21,26,21,3,48,PM10,BAIK
3/1/2018,DKI1,52,22,24,66,4,66,O3,SEDANG
3/2/2018,DKI1,48,21,23,82,4,82,O3,SEDANG
3/3/2018,DKI1,57,23,19,51,3,57,PM10,SEDANG
3/4/2018,DKI1,42,22,29,130,5,130,O3,TIDAK SEHAT
3/5/2018,DKI1,37,20,20,37,3,37,PM10,BAIK
3/6/2018,DKI1,51,28,20,30,4,51,PM10,SEDANG
3/7/2018,DKI1,47,23,24,27,4,47,PM10,BAIK
3/8/2018,DKI1,49,22,26,50,4,50,O3,BAIK
3/9/2018,DKI1,57,26,29,42,5,57,PM10,SEDANG
3/10/2018,DKI1,49,24,27,23,3,49,PM10,BAIK
3/11/2018,DKI1,36,25,18,32,2,36,PM10,BAIK
3/12/2018,DKI1,36,24,20,24,3,36,PM10,BAIK
3/13/2018,DKI1,49,23,20,23,2,49,PM10,BAIK
3/14/2018,DKI1,52,22,20,36,3,52,PM10,SEDANG
3/15/2018,DKI1,54,28,24,59,5,59,O3,SEDANG
3/16/2018,DKI1,52,28,20,72,7,72,O3,SEDANG
3/17/2018,DKI1,62,26,24,56,6,62,PM10,SEDANG
3/18/2018,DKI1,68,24,46,91,4,91,O3,SEDANG
3/19/2018,DKI1,42,25,21,68,4,68,O3,SEDANG
3/20/2018,DKI1,44,24,23,133,6,133,O3,TIDAK SEHAT
3/21/2018,DKI1,47,24,27,67,4,67,O3,SEDANG
3/22/2018,DKI1,30,23,18,33,3,33,O3,BAIK
3/23/2018,DKI1,67,24,37,53,7,67,PM10,SEDANG
3/24/2018,DKI1,66,27,23,28,4,66,PM10,SEDANG
3/25/2018,DKI1,26,21,16,40,3,40,O3,BAIK
3/26/2018,DKI1,48,22,24,40,4,48,PM10,BAIK
3/27/2018,DKI1,25,24,20,91,1,91,O3,SEDANG
3/28/2018,DKI1,52,24,31,87,4,87,O3,SEDANG
3/29/2018,DKI1,31,23,26,24,5,31,PM10,BAIK
3/30/2018,DKI1,22,23,31,28,2,31,CO,BAIK
3/31/2018,DKI1,14,22,15,21,1,22,SO2,BAIK
4/1/2018,DKI1,25,22,17,22,1,25,PM10,BAIK
4/2/2018,DKI1,39,22,18,24,2,39,PM10,BAIK
4/3/2018,DKI1,45,22,27,23,2,45,PM10,BAIK
4/4/2018,DKI1,18,22,20,29,3,29,O3,BAIK
4/5/2018,DKI1,8,24,25,16,4,25,CO,BAIK
4/6/2018,DKI1,8,22,21,7,4,22,SO2,BAIK
4/7/2018,DKI1,8,23,21,6,4,23,SO2,BAIK
4/8/2018,DKI1,6,22,16,4,1,22,SO2,BAIK
4/9/2018,DKI1,11,22,20,10,3,22,SO2,BAIK
4/10/2018,DKI1,10,22,19,5,2,22,SO2,BAIK
4/11/2018,DKI1,50,22,20,25,2,50,PM10,BAIK
4/12/2018,DKI1,33,22,16,19,2,33,PM10,BAIK
4/13/2018,DKI1,33,22,16,29,2,33,PM10,BAIK
4/14/2018,DKI1,27,22,21,15,3,27,PM10,BAIK
4/15/2018,DKI1,53,22,23,44,2,53,PM10,SEDANG
4/16/2018,DKI1,56,23,25,22,7,56,PM10,SEDANG
4/17/2018,DKI1,46,22,20,30,5,46,PM10,BAIK
4/18/2018,DKI1,63,23,25,41,6,63,PM10,SEDANG
4/19/2018,DKI1,72,22,29,21,5,72,PM10,SEDANG
4/20/2018,DKI1,59,22,30,15,3,59,PM10,SEDANG
4/21/2018,DKI1,64,23,34,24,6,64,PM10,SEDANG
4/22/2018,DKI1,58,22,25,29,4,58,PM10,SEDANG
4/23/2018,DKI1,49,22,27,,2,49,PM10,BAIK
4/24/2018,DKI1,61,22,33,,3,61,PM10,SEDANG
4/25/2018,DKI1,69,22,35,,2,69,PM10,SEDANG
4/26/2018,DKI1,71,23,32,,3,71,PM10,SEDANG
4/27/2018,DKI1,50,22,22,,2,50,PM10,BAIK
4/28/2018,DKI1,53,22,23,,3,53,PM10,SEDANG
4/29/2018,DKI1,51,22,26,,5,51,PM10,SEDANG
4/30/2018,DKI1,54,23,22,,4,54,PM10,SEDANG
5/1/2018,DKI1,62,24,19,,9,62,PM10,SEDANG
5/2/2018,DKI1,62,23,22,,6,62,PM10,SEDANG
5/3/2018,DKI1,70,23,22,,4,70,PM10,SEDANG
5/4/2018,DKI1,78,23,31,,4,78,PM10,SEDANG
5/5/2018,DKI1,61,23,23,,3,61,PM10,SEDANG
5/6/2018,DKI1,48,23,17,,3,48,PM10,BAIK
5/7/2018,DKI1,50,24,17,,2,50,PM10,BAIK
5/8/2018,DKI1,51,25,21,,4,51,PM10,SEDANG
5/9/2018,DKI1,,24,20,,3,24,SO2,BAIK
5/10/2018,DKI1,55,2,18,36,3,55,PM10,SEDANG
5/11/2018,DKI1,49,1,16,33,3,49,PM10,BAIK
5/12/2018,DKI1,62,17,19,,3,62,PM10,SEDANG
5/13/2018,DKI1,43,16,22,59,3,59,O3,SEDANG
5/14/2018,DKI1,64,14,20,74,4,74,O3,SEDANG
5/15/2018,DKI1,63,14,24,80,4,80,O3,SEDANG
5/16/2018,DKI1,47,13,23,55,3,55,O3,SEDANG
5/17/2018,DKI1,51,14,19,30,4,51,PM10,SEDANG
5/18/2018,DKI1,42,13,11,27,2,42,PM10,BAIK
5/19/2018,DKI1,40,14,11,42,4,42,O3,BAIK
5/20/2018,DKI1,39,14,19,38,3,39,PM10,BAIK
5/21/2018,DKI1,29,14,17,50,4,50,O3,BAIK
5/22/2018,DKI1,40,14,14,34,4,40,PM10,BAIK
5/23/2018,DKI1,35,17,12,42,,42,O3,BAIK
5/24/2018,DKI1,19,17,,34,,34,O3,BAIK
5/25/2018,DKI1,55,18,,22,5,55,PM10,SEDANG
5/26/2018,DKI1,6,17,24,16,6,24,CO,BAIK
5/27/2018,DKI1,,,,,,,,TIDAK ADA DATA
5/28/2018,DKI1,,,,,,,,TIDAK ADA DATA
5/29/2018,DKI1,55,13,18,28,7,55,PM10,SEDANG
5/30/2018,DKI1,67,12,18,45,9,67,PM10,SEDANG
5/31/2018,DKI1,43,13,17,35,8,43,PM10,BAIK
6/1/2018,DKI1,25,12,18,16,8,25,PM10,BAIK
6/2/2018,DKI1,62,12,13,14,9,62,PM10,SEDANG
6/3/2018,DKI1,50,12,14,26,5,50,PM10,BAIK
6/4/2018,DKI1,34,11,11,24,3,34,PM10,BAIK
6/5/2018,DKI1,56,12,12,23,6,56,PM10,SEDANG
6/6/2018,DKI1,51,12,12,38,7,51,PM10,SEDANG
6/7/2018,DKI1,66,11,13,36,6,66,PM10,SEDANG
6/8/2018,DKI1,57,11,14,28,4,57,PM10,SEDANG
6/9/2018,DKI1,64,12,27,36,4,64,PM10,SEDANG
6/10/2018,DKI1,54,13,18,45,,54,PM10,SEDANG
6/11/2018,DKI1,56,11,14,35,,56,PM10,SEDANG
6/12/2018,DKI1,65,9,11,50,2,65,PM10,SEDANG
6/13/2018,DKI1,53,9,18,,3,53,PM10,SEDANG
6/14/2018,DKI1,26,8,12,44,2,44,O3,BAIK
6/15/2018,DKI1,53,8,12,38,2,53,PM10,SEDANG
6/16/2018,DKI1,56,7,20,29,2,56,PM10,SEDANG
6/17/2018,DKI1,,,8,,,8,CO,BAIK
6/18/2018,DKI1,,,,,,,,TIDAK ADA DATA
6/19/2018,DKI1,,,,,,,,TIDAK ADA DATA
6/20/2018,DKI1,,,,,,,,TIDAK ADA DATA
6/21/2018,DKI1,41,5,,17,,41,PM10,BAIK
6/22/2018,DKI1,39,6,9,22,2,39,PM10,BAIK
6/23/2018,DKI1,39,5,8,19,1,39,PM10,BAIK
6/24/2018,DKI1,38,5,10,31,1,38,PM10,BAIK
6/25/2018,DKI1,21,5,14,16,2,21,PM10,BAIK
6/26/2018,DKI1,41,6,28,7,,41,PM10,BAIK
6/27/2018,DKI1,48,5,20,22,4,48,PM10,BAIK
6/28/2018,DKI1,58,5,17,14,2,58,PM10,SEDANG
6/29/2018,DKI1,60,5,18,19,3,60,PM10,SEDANG
6/30/2018,DKI1,46,5,17,45,2,46,PM10,BAIK
7/1/2018,DKI1,64,8,16,34,2,64,PM10,SEDANG
7/2/2018,DKI1,58,7,16,23,4,58,PM10,SEDANG
7/3/2018,DKI1,56,7,16,39,4,56,PM10,SEDANG
7/4/2018,DKI1,68,7,15,21,4,68,PM10,SEDANG
7/5/2018,DKI1,63,7,15,18,3,63,PM10,SEDANG
7/6/2018,DKI1,55,8,15,20,5,55,PM10,SEDANG
7/7/2018,DKI1,,,,,,,,TIDAK ADA DATA
7/8/2018,DKI1,,,,,,,,TIDAK ADA DATA
7/9/2018,DKI1,34,6,15,50,,50,O3,BAIK
7/10/2018,DKI1,54,6,15,30,,54,PM10,SEDANG
7/11/2018,DKI1,73,7,15,25,,73,PM10,SEDANG
7/12/2018,DKI1,60,6,15,34,,60,PM10,SEDANG
7/13/2018,DKI1,59,6,14,42,,59,PM10,SEDANG
7/14/2018,DKI1,77,6,14,45,,77,PM10,SEDANG
7/15/2018,DKI1,52,5,12,32,,52,PM10,SEDANG
7/16/2018,DKI1,50,5,12,40,,50,PM10,BAIK
7/17/2018,DKI1,65,5,17,65,,65,PM10,SEDANG
7/18/2018,DKI1,65,6,17,53,,65,PM10,SEDANG
7/19/2018,DKI1,67,5,17,25,,67,PM10,SEDANG
7/20/2018,DKI1,70,5,16,25,,70,PM10,SEDANG
7/21/2018,DKI1,65,4,12,28,,65,PM10,SEDANG
7/22/2018,DKI1,48,4,18,43,,48,PM10,BAIK
7/23/2018,DKI1,53,4,23,31,,53,PM10,SEDANG
7/24/2018,DKI1,62,5,23,20,,62,PM10,SEDANG
7/25/2018,DKI1,55,5,15,35,,55,PM10,SEDANG
7/26/2018,DKI1,58,5,16,,,58,PM10,SEDANG
7/27/2018,DKI1,73,12,15,,9,73,PM10,SEDANG
7/28/2018,DKI1,53,11,20,65,3,65,O3,SEDANG
7/29/2018,DKI1,62,10,15,37,2,62,PM10,SEDANG
7/30/2018,DKI1,74,11,19,34,7,74,PM10,SEDANG
7/31/2018,DKI1,79,10,18,38,2,79,PM10,SEDANG
8/1/2018,DKI1,76,10,18,31,5,76,PM10,SEDANG
8/2/2018,DKI1,53,10,18,29,4,53,PM10,SEDANG
8/3/2018,DKI1,57,10,16,40,3,57,PM10,SEDANG
8/4/2018,DKI1,56,10,13,49,3,56,PM10,SEDANG
8/5/2018,DKI1,46,12,11,32,3,46,PM10,BAIK
8/6/2018,DKI1,48,12,12,38,4,48,PM10,BAIK
8/7/2018,DKI1,64,11,16,37,4,64,PM10,SEDANG
8/8/2018,DKI1,53,12,19,29,5,53,PM10,SEDANG
8/9/2018,DKI1,72,11,19,28,4,72,PM10,SEDANG
8/10/2018,DKI1,60,11,18,28,4,60,PM10,SEDANG
8/11/2018,DKI1,69,11,17,29,4,69,PM10,SEDANG
8/12/2018,DKI1,62,11,14,29,4,62,PM10,SEDANG
8/13/2018,DKI1,63,11,13,31,2,63,PM10,SEDANG
8/14/2018,DKI1,74,12,13,48,2,74,PM10,SEDANG
8/15/2018,DKI1,62,11,13,45,2,62,PM10,SEDANG
8/16/2018,DKI1,64,12,13,34,3,64,PM10,SEDANG
8/17/2018,DKI1,59,11,15,33,3,59,PM10,SEDANG
8/18/2018,DKI1,60,11,11,27,3,60,PM10,SEDANG
8/19/2018,DKI1,55,11,10,47,2,55,PM10,SEDANG
8/20/2018,DKI1,54,10,13,18,3,54,PM10,SEDANG
8/21/2018,DKI1,60,11,16,18,3,60,PM10,SEDANG
8/22/2018,DKI1,62,10,16,17,4,62,PM10,SEDANG
8/23/2018,DKI1,62,12,17,21,4,62,PM10,SEDANG
8/24/2018,DKI1,68,11,20,17,4,68,PM10,SEDANG
8/25/2018,DKI1,67,11,19,29,3,67,PM10,SEDANG
8/26/2018,DKI1,62,10,13,22,3,62,PM10,SEDANG
8/27/2018,DKI1,70,11,17,24,3,70,PM10,SEDANG
8/28/2018,DKI1,67,11,17,,3,67,PM10,SEDANG
8/29/2018,DKI1,55,10,16,34,3,55,PM10,SEDANG
8/30/2018,DKI1,60,10,17,34,3,60,PM10,SEDANG
8/31/2018,DKI1,49,10,18,36,4,49,PM10,BAIK
9/1/2018,DKI1,59,9,20,29,3,59,PM10,SEDANG
9/2/2018,DKI1,62,9,15,25,3,62,PM10,SEDANG
9/3/2018,DKI1,50,9,23,31,6,50,PM10,BAIK
9/4/2018,DKI1,50,10,22,37,3,50,PM10,BAIK
9/5/2018,DKI1,52,14,15,32,3,52,PM10,SEDANG
9/6/2018,DKI1,73,15,21,18,4,73,PM10,SEDANG
9/7/2018,DKI1,66,10,18,15,4,66,PM10,SEDANG
9/8/2018,DKI1,51,12,19,12,16,51,PM10,SEDANG
9/9/2018,DKI1,67,10,21,26,3,67,PM10,SEDANG
9/10/2018,DKI1,62,11,16,29,4,62,PM10,SEDANG
9/11/2018,DKI1,61,13,,,3,61,PM10,SEDANG
9/12/2018,DKI1,56,12,,,3,56,PM10,SEDANG
9/13/2018,DKI1,55,16,18,28,5,55,PM10,SEDANG
9/14/2018,DKI1,56,11,18,35,4,56,PM10,SEDANG
9/15/2018,DKI1,61,12,17,28,3,62,PM10,SEDANG
9/16/2018,DKI1,59,10,13,26,3,59,PM10,SEDANG
9/17/2018,DKI1,51,10,14,18,4,51,PM10,SEDANG
9/18/2018,DKI1,52,11,18,17,4,52,PM10,SEDANG
9/19/2018,DKI1,6,12,16,14,4,16,CO,BAIK
9/20/2018,DKI1,8,11,19,8,3,19,CO,BAIK
9/21/2018,DKI1,6,11,22,8,3,22,CO,BAIK
9/22/2018,DKI1,5,10,22,19,3,22,CO,BAIK
9/23/2018,DKI1,6,11,21,16,4,21,CO,BAIK
9/24/2018,DKI1,26,11,19,19,4,26,PM10,BAIK
9/25/2018,DKI1,53,12,17,16,5,53,PM10,SEDANG
9/26/2018,DKI1,69,11,18,27,5,69,PM10,SEDANG
9/27/2018,DKI1,56,10,17,25,4,56,PM10,SEDANG
9/28/2018,DKI1,44,11,16,33,4,44,PM10,BAIK
9/29/2018,DKI1,41,11,17,28,4,41,PM10,BAIK
9/30/2018,DKI1,54,11,12,39,3,54,PM10,SEDANG
10/1/2018,DKI1,47,11,15,26,4,47,PM10,BAIK
10/2/2018,DKI1,63,11,19,14,4,63,PM10,SEDANG
10/3/2018,DKI1,37,10,17,33,5,37,PM10,BAIK
10/4/2018,DKI1,38,11,17,35,4,38,PM10,BAIK
10/5/2018,DKI1,46,11,16,37,3,46,PM10,BAIK
10/6/2018,DKI1,37,11,20,32,3,37,PM10,BAIK
10/7/2018,DKI1,37,12,11,35,3,37,PM10,BAIK
10/8/2018,DKI1,37,11,14,33,4,37,PM10,BAIK
10/9/2018,DKI1,51,11,15,30,4,51,PM10,SEDANG
10/10/2018,DKI1,27,11,18,19,5,27,PM10,BAIK
10/11/2018,DKI1,59,11,17,22,4,59,PM10,SEDANG
10/12/2018,DKI1,53,11,17,15,5,53,PM10,SEDANG
10/13/2018,DKI1,55,11,20,26,5,55,PM10,SEDANG
10/14/2018,DKI1,64,12,14,30,4,64,PM10,SEDANG
10/15/2018,DKI1,52,10,16,23,3,52,PM10,SEDANG
10/16/2018,DKI1,57,10,19,43,5,57,PM10,SEDANG
10/17/2018,DKI1,---,11,19,28,5,28,O3,BAIK
10/18/2018,DKI1,59,11,18,23,5,59,PM10,SEDANG
10/19/2018,DKI1,30,10,20,38,5,38,O3,BAIK
10/20/2018,DKI1,43,10,16,35,3,43,PM10,BAIK
10/21/2018,DKI1,42,10,14,29,3,42,PM10,BAIK
10/22/2018,DKI1,33,10,14,39,4,39,O3,BAIK
10/23/2018,DKI1,36,9,14,32,3,36,PM10,BAIK
10/24/2018,DKI1,43,10,27,28,5,43,PM10,BAIK
10/25/2018,DKI1,36,10,17,14,4,36,PM10,BAIK
10/26/2018,DKI1,29,10,18,16,4,29,PM10,BAIK
10/27/2018,DKI1,57,10,18,35,5,57,PM10,SEDANG
10/28/2018,DKI1,34,9,12,33,3,34,PM10,BAIK
10/29/2018,DKI1,42,9,24,44,2,44,O3,BAIK
10/30/2018,DKI1,46,10,22,34,3,46,PM10,BAIK
10/31/2018,DKI1,47,10,16,19,3,47,PM10,BAIK
11/1/2018,DKI1,65,11,26,19,5,65,PM10,SEDANG
11/2/2018,DKI1,45,10,21,32,3,45,PM10,BAIK
11/3/2018,DKI1,51,11,21,37,4,51,PM10,SEDANG
11/4/2018,DKI1,45,10,17,28,2,45,PM10,BAIK
11/5/2018,DKI1,48,10,20,22,3,48,PM10,BAIK
11/6/2018,DKI1,45,10,19,41,3,45,PM10,BAIK
11/7/2018,DKI1,53,10,23,28,3,53,PM10,SEDANG
11/8/2018,DKI1,49,10,23,37,3,49,PM10,BAIK
11/9/2018,DKI1,,,,,,,,TIDAK ADA DATA
11/10/2018,DKI1,58,11,32,31,5,58,PM10,SEDANG
11/11/2018,DKI1,49,14,23,72,4,72,O3,SEDANG
11/12/2018,DKI1,59,16,20,65,3,65,O3,SEDANG
11/13/2018,DKI1,59,15,20,75,4,75,O3,SEDANG
11/14/2018,DKI1,37,15,18,32,2,37,PM10,BAIK
11/15/2018,DKI1,15,13,9,30,1,30,O3,BAIK
11/16/2018,DKI1,21,17,19,130,2,130,O3,TIDAK SEHAT
11/17/2018,DKI1,34,20,18,125,3,125,O3,TIDAK SEHAT
11/18/2018,DKI1,31,17,14,62,3,62,O3,SEDANG
11/19/2018,DKI1,53,16,18,43,3,53,PM10,SEDANG
11/20/2018,DKI1,41,15,17,61,3,61,O3,SEDANG
11/21/2018,DKI1,51,18,21,127,3,127,O3,TIDAK SEHAT
11/22/2018,DKI1,61,17,20,55,2,61,PM10,SEDANG
11/23/2018,DKI1,43,16,23,100,4,100,O3,SEDANG
11/24/2018,DKI1,61,16,38,61,4,61,PM10,SEDANG
11/25/2018,DKI1,54,12,19,71,2,71,O3,SEDANG
11/26/2018,DKI1,73,19,20,48,2,73,PM10,SEDANG
11/27/2018,DKI1,63,14,26,84,3,84,O3,SEDANG
11/28/2018,DKI1,51,15,20,62,3,62,O3,SEDANG
11/29/2018,DKI1,60,15,27,64,2,64,O3,SEDANG
11/30/2018,DKI1,53,14,20,73,3,73,O3,SEDANG
12/1/2018,DKI1,57,15,21,64,3,64,O3,SEDANG
12/2/2018,DKI1,59,18,22,65,15,65,O3,SEDANG
12/3/2018,DKI1,57,16,21,86,4,86,O3,SEDANG
12/4/2018,DKI1,63,13,29,71,3,71,O3,SEDANG
12/5/2018,DKI1,62,16,31,57,3,62,PM10,SEDANG
12/6/2018,DKI1,49,16,23,66,4,66,O3,SEDANG
12/7/2018,DKI1,50,16,21,82,4,82,O3,SEDANG
12/8/2018,DKI1,68,14,27,81,4,81,O3,SEDANG
12/9/2018,DKI1,54,15,17,80,3,80,O3,SEDANG
12/10/2018,DKI1,64,13,21,94,5,94,O3,SEDANG
12/11/2018,DKI1,82,15,39,92,4,92,O3,SEDANG
12/12/2018,DKI1,57,14,27,112,3,112,O3,TIDAK SEHAT
12/13/2018,DKI1,52,15,18,63,3,63,O3,SEDANG
12/14/2018,DKI1,50,15,15,69,3,69,O3,SEDANG
12/15/2018,DKI1,23,13,10,34,2,34,O3,BAIK
12/16/2018,DKI1,41,12,9,36,2,41,PM10,BAIK
12/17/2018,DKI1,35,13,12,62,3,62,O3,SEDANG
12/18/2018,DKI1,36,17,12,86,3,86,O3,SEDANG
12/19/2018,DKI1,60,15,20,88,3,88,O3,SEDANG
12/20/2018,DKI1,48,14,17,49,3,49,O3,BAIK
12/21/2018,DKI1,33,13,12,23,3,33,PM10,BAIK
12/22/2018,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/23/2018,DKI1,48,14,---,15,2,48,PM10,BAIK
12/24/2018,DKI1,21,11,4,20,1,21,PM10,BAIK
12/25/2018,DKI1,22,13,6,22,2,22,PM10,BAIK
12/26/2018,DKI1,22,14,7,18,2,22,PM10,BAIK
12/27/2018,DKI1,28,13,15,55,3,55,O3,SEDANG
12/28/2018,DKI1,4,13,---,63,---,63,O3,SEDANG
12/29/2018,DKI1,19,---,5,---,8,19,PM10,BAIK
12/30/2018,DKI1,17,---,---,---,4,17,PM10,BAIK
12/31/2018,DKI1,24,---,4,33,3,33,O3,BAIK
1/1/2019,DKI1,29,15,5,,13,29,PM10,BAIK
1/2/2019,DKI1,24,17,5,,6,24,PM10,BAIK
1/3/2019,DKI1,16,16,5,29,4,29,O3,BAIK
1/4/2019,DKI1,38,18,8,24,,38,PM10,BAIK
1/5/2019,DKI1,37,29,16,,16,37,PM10,BAIK
1/6/2019,DKI1,66,34,30,,27,66,PM10,SEDANG
1/7/2019,DKI1,52,47,14,,25,52,PM10,SEDANG
